,x_t,x_l,x_ct,x_cl
0,56.3524339168,58.3401488684,56.4147255517,58.4249623901
1,58.4926161478,59.2806908024,59.0359712672,58.9566490189
2,59.6036746021,61.2179029691,59.7376256403,60.7794988146
3,61.1559795583,58.1664219505,60.9824160282,57.6416023233
4,56.8515959081,61.8503951067,56.5362170583,61.3960860146
5,54.0072253119,61.1967213032,54.2861669376,61.1422446846
6,57.4221321428,57.3877209658,57.1489594793,57.9906576316
7,59.1130601246,55.6403957247,59.1577870348,55.4936367373
8,62.4141809615,59.0260073502,62.3871467993,59.31167718
9,60.4518025392,61.3661809623,60.399840619,61.5921270249
10,58.5385233276,59.2033959557,59.066380035,59.978024626
11,59.0284482069,60.0294090905,58.2784362972,59.9982246036
