,x_t,x_l,x_ct,x_cl
0,58.1434977578,61.7742899851,58.5240821981,60.1456699831
1,58.4590163934,59.5275707899,57.921920464,60.1150066169
2,58.131934033,59.6821589205,58.6407034013,60.4105395252
3,59.7185185185,58.5822222222,59.7822008365,58.9889763394
4,59.6136701337,58.9375928678,58.7551105061,60.0043108012
5,59.0678733032,59.532428356,58.8521868436,59.3399433366
6,58.4172989378,59.5796661608,58.0578638641,60.9213428019
7,58.8716814159,60.2669616519,58.2747021646,61.0100452987
8,58.9136904762,59.755952381,58.7128968815,60.1089502475
9,58.9174311927,59.4755351682,59.2397048262,59.5968530255
10,58.6989247312,59.4961597542,59.3982708683,59.6963572195
11,57.8837920489,60.0764525994,58.5748973014,60.2752313219
12,58.9423676012,59.0934579439,58.9884586361,59.9306026731
13,58.4024767802,58.7043343653,58.1784400901,60.4741462628
14,58.7317436662,59.2473919523,58.436924411,60.3044441434
15,58.6848484848,60.2151515152,58.4593896238,60.2831141053
16,58.4931921331,59.4992435703,58.6147084243,59.9290062901
17,59.1276276276,59.8318318318,58.9105461621,59.6793317577
18,57.8774583964,59.3509833585,58.4907710008,59.9867593383
19,57.6453125,59.8,57.7617252623,61.1456394918
20,58.6074766355,58.777258567,58.53312831,58.5845351831
21,58.4846625767,57.6779141104,58.3195829619,58.1981130837
22,58.0278592375,60.4252199413,57.745209965,60.212100892
23,58.5603576751,58.7302533532,59.0824348879,58.6158968132
24,58.2431610942,59.3936170213,58.5605116527,59.5900191882
25,59.5,58.9529780564,59.4344981036,57.6900793525
26,58.5608308605,58.9154302671,58.7845632987,59.3874883576
27,57.7179878049,59.1966463415,58.6912812647,59.3369485308
28,57.815037594,59.6360902256,59.0479693227,58.8048174141
29,58.398782344,59.8584474886,58.5542132692,59.6640567432
30,58.1674277017,59.1582952816,58.1588839806,59.1466583603
31,58.2748091603,59.0564885496,58.7128783441,59.0603378594
32,57.9560606061,59.7,58.5471163312,59.1524619795
33,58.4514637904,59.5146379045,59.4172068896,58.408278662
34,58.0659670165,59.0104947526,58.9309806658,59.0383536563
35,58.4086687307,59.6083591331,58.544865014,59.3260916469
36,57.9322533137,59.4447717231,58.3008787471,59.3335519207
37,57.8046989721,59.0205580029,58.2526120495,59.7560631219
38,58.345752608,59.5961251863,59.3247766804,58.5742058168
39,57.7432432432,59.7087087087,58.3462543535,59.4869620328
40,57.6143497758,59.5171898356,57.8630942815,59.3149327107
41,58.222556391,60.0541353383,58.1547313749,59.9718189885
42,58.1165919283,59.2436472347,58.6131428508,59.3675539743
43,57.802690583,59.7473841555,57.8003019108,59.7404952273
44,58.3405909798,59.5194401244,58.4178704458,59.7625429469
45,58.0486008837,60.970544919,58.5988508104,60.1354697234
46,57.9693251534,60.0843558282,58.1503365985,60.5434032171
47,57.8831360947,60.548816568,57.0745952568,60.6817415523
48,58.4111600587,59.9970631424,59.05975894,59.5227385492
49,58.3432835821,60.5567164179,58.2666742915,60.2342337495
50,58.934114202,58.6676427526,58.6845912442,58.7928723517
51,58.0014880952,59.8556547619,58.7141269473,59.6682486763
52,57.6829971182,59.439481268,58.4274414339,59.4113409473
53,57.6871257485,59.3637724551,57.8865945178,59.402792826
54,57.6707692308,59.8276923077,57.7599756827,60.1931782282
55,57.5179640719,60.3473053892,57.2466424985,60.3528121118
56,58.6697247706,60.0565749235,58.1752965897,60.1908524389
57,58.1065088757,59.7470414201,58.7112987526,60.0417689513
58,57.1211656442,60.504601227,57.5187128938,60.1368519681
59,58.5152905199,59.4663608563,58.4937046492,59.9696498125
60,58.2364457831,59.7981927711,58.4561283407,59.5099189829
61,57.7996941896,60.1391437309,58.177720491,59.8843817859
62,58.4357034796,58.9273827534,58.8210405109,58.9152754322
63,58.5414781297,59.6108597285,58.2030011942,60.1824671508
64,57.8882175227,60.8081570997,58.262599319,60.3273196563
65,58.3690658499,59.3124042879,59.0899359969,59.0836289511
66,58.7411402157,59.1016949153,59.1448333649,59.2676660998
67,58.4394618834,59.8535127055,57.6562104963,60.6865691637
68,58.154887218,59.6360902256,58.2958593088,59.4649285735
69,58.3333333333,58.9235474006,58.5135329131,58.5225512766
70,57.791225416,58.2995461422,58.1634517617,58.9207883978
71,58.2976539589,59.5469208211,57.6042559428,59.4978363415
72,57.76011994,60.6101949025,57.2838072858,60.2687466341
73,58.5509259259,59.6141975309,58.89550671,58.8930713466
74,58.0532544379,61.100591716,58.0918909053,59.8293077367
75,57.0950920245,59.6564417178,57.8689862706,59.6911138973
76,58.3674698795,59.2409638554,58.7032641379,58.1308041445
77,57.6063829787,60.6200607903,58.055320079,58.8519527256
78,57.9212121212,59.5212121212,58.3390760533,59.2419200477
79,58.0178571429,59.9806547619,58.3858345307,59.5266158743
80,57.6039156627,59.8418674699,57.5916863011,59.8700085701
81,57.9074355083,60.813353566,57.9970496128,59.5279471278
82,57.3532934132,60.1062874251,57.9961418104,59.9697647152
83,57.7331288344,58.6395705521,58.1929354737,59.0675546116
84,57.9938931298,60.1496183206,57.9041385356,59.1038149939
85,58.5865671642,59.4850746269,58.5812108569,59.1718081343
86,58.4164133739,59.132218845,58.4306335003,58.9294628997
87,58.3860465116,59.0976744186,58.639467327,58.4736087058
88,58.2235649547,59.0891238671,58.8003720712,58.9546201487
89,57.8613251156,61.4483821263,58.1880920804,58.8504168205
90,58.2217125382,59.0596330275,58.2603332627,58.8559874464
91,57.5393939394,60.6666666667,57.9812589477,59.3057778494
92,57.8070444104,59.6294027565,58.2382589187,60.270817208
93,58.2288261516,60.7102526003,58.3651874795,59.8016092704
94,58.1325301205,59.0903614458,57.9788471676,60.0740696607
95,57.3783382789,61.3160237389,56.9644453957,60.5995444024
96,57.2869955157,59.8968609865,57.8105905618,58.8683197907
97,58.1777777778,59.0301587302,57.8861661509,60.493473915
98,58.5252225519,59.2729970326,58.4234842493,60.3911254061
99,57.8970358814,60.4180967239,57.7767647686,60.3319842703
100,57.6656534954,59.0455927052,57.6690177734,59.8568702118
101,58.3507692308,59.8369230769,58.1709093629,60.073956678
102,57.6072507553,59.4395770393,57.596963268,60.073121303
103,58.0090361446,59.1430722892,58.1595030899,59.5552602078
104,58.0956651719,59.3886397608,58.716597381,59.4115672353
105,57.7086494689,60.0758725341,58.1186514522,60.3634484962
106,57.4744744745,59.9954954955,57.4326521355,60.7509460435
107,58.2012012012,60.7267267267,57.9992049587,59.9940894807
108,57.4027355623,59.5060790274,57.5453268549,60.265659723
109,58.1185185185,59.8488888889,58.3343997289,60.1250532387
110,58.4509202454,60.5920245399,58.0432002845,60.2020823305
111,58.1525925926,60.5066666667,57.7738163908,60.6400315874
112,58.1279761905,58.5089285714,57.9862672237,60.1742697624
113,58.603268945,58.9673105498,57.5976561561,59.9201968152
114,58.0446428571,60.005952381,58.5066638118,59.9622238622
115,58.1610541728,60.5534407028,58.2469128402,60.2411069274
116,58.4821428571,59.2321428571,58.0459237936,59.9643144562
117,58.2122571001,59.6651718984,57.8026238292,59.3973334968
118,58.1820987654,59.6388888889,58.6806537514,59.4269681278
119,58.3009259259,59.2330246914,58.6482232744,58.9806122549
120,57.8744326778,59.2768532526,57.8112751118,59.6302209028
121,57.9701046338,59.8370702541,59.2715878526,58.4219644567
122,58.1909090909,59.8166666667,59.1345354185,59.4805481326
123,57.2514619883,59.7236842105,57.506292884,60.8221573285
124,58.7771260997,58.5337243402,58.8754726461,59.1379559901
125,58.3484848485,60.596969697,58.0818115173,60.1026696521
126,58.2572298326,60.3302891933,58.6719570292,59.4110017348
127,58.2443438914,61.5369532428,58.1209975297,60.3472596414
128,57.9479940565,60.3016344725,58.1675604964,60.1870245131
129,58.400304414,60.1126331811,58.353701525,60.0803859999
130,58.0577777778,60.4651851852,57.4954383616,60.5815421024
131,57.518018018,58.2957957958,58.081241318,60.3257551885
132,57.8983308042,60.1972685888,58.5976545014,58.9588621203
133,57.5895865237,59.4548238897,57.3664349599,60.5882144993
134,57.9938556068,62.4393241167,57.6596493922,60.607119111
135,58.577443609,59.3278195489,59.2542091003,58.6606563144
136,57.5228276878,61.0044182622,58.3766792381,60.1716307549
137,57.9185520362,59.6862745098,58.1608442007,59.7188018375
138,58.1976047904,61.0494011976,57.9905303532,59.7251875431
139,57.9866863905,60.6686390533,57.6166329824,60.4964405873
140,58.0320121951,61.1798780488,57.7964460385,60.5365817701
141,57.7001477105,60.5583456425,58.3941269477,60.0380276298
142,58.0365853659,60.2911585366,57.8115483217,61.0145121182
143,58.8313609467,59.9319526627,58.5979849103,60.3722133725
144,58.4218512898,60.7405159332,57.6867179118,60.7027772136
145,58.3026706231,59.9480712166,58.4614632118,60.3328190167
146,58.2633928571,61.21875,58.2036924623,61.542721578
147,58.276119403,60.2611940299,58.2617590524,60.5598642947
148,57.4398782344,61.1796042618,56.8228693215,61.5605236463
149,58.0551301685,60.2679938744,58.0628683211,60.8820865834
150,57.6478658537,61.1890243902,57.6529927311,60.8994352909
151,57.8476621418,61.0196078431,57.8618473751,60.9741697702
152,58.0523882897,60.0862865948,58.3830456426,60.1960256774
