power,pi_phase_point,three_dB_pt_err,three_dB_pt,pi_phase_point_err
0,6541.22541023,0.320368449864,10682.6247269,0.149941155494
100,8271.03942001,0.376304211959,10289.4042613,0.872140003267
200,8318.25115514,0.467495893614,9572.09746135,0.833181769849
300,8358.19282568,0.289053526829,8528.7345869,2.37168733764
400,,3.9403051444,7352.61375542,
500,,3.14073989759,6343.3296272,
600,13480.7740165,4.40507893447,5391.82659581,11.0918637698
700,10524.2551977,0.817447332797,4416.30297846,7.80615987322
800,11255.6933106,2.22734691067,3750.91835656,9.45127795291
900,9769.24552116,3.65589791115,3590.91629105,4.77814632176
